open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1696118400000,8.30016247,8.30389309,8.29831891,8.30221207,0,1696118459999,0,60,0,0,0
1696118460000,8.30224465,8.30224465,8.29407665,8.29411494,0,1696118519999,0,60,0,0,0
1696118520000,8.29410022,8.29418074,8.28789195,8.28789195,0,1696118579999,0,60,0,0,0
1696118580000,8.28789195,8.28789195,8.28515096,8.28515096,0,1696118639999,0,60,0,0,0
1696118640000,8.28515096,8.28516406,8.27950558,8.27950558,0,1696118699999,0,60,0,0,0
1696118700000,8.28083891,8.28251295,8.28083891,8.28182277,0,1696118759999,0,60,0,0,0
1696118760000,8.28184905,8.28187419,8.27679604,8.27679604,0,1696118819999,0,60,0,0,0
1696118820000,8.27679572,8.27716279,8.27445368,8.27716279,0,1696118879999,0,60,0,0,0
1696118880000,8.27721516,8.28911334,8.27721516,8.28911334,0,1696118939999,0,60,0,0,0
1696118940000,8.28911334,8.29131351,8.28885305,8.29098017,0,1696118999999,0,60,0,0,0
1696119000000,8.29098017,8.29220069,8.29063506,8.29220069,0,1696119059999,0,60,0,0,0
1696119060000,8.29224711,8.30010169,8.29224711,8.29867513,0,1696119119999,0,60,0,0,0
1696119120000,8.29867513,8.30185479,8.29845082,8.30161987,0,1696119179999,0,60,0,0,0
1696119180000,8.30161961,8.30497908,8.30161961,8.30497908,0,1696119239999,0,60,0,0,0
1696119240000,8.30497923,8.30563704,8.30495034,8.30510606,0,1696119299999,0,60,0,0,0
1696119300000,8.30510606,8.30510606,8.30391202,8.30392212,0,1696119359999,0,60,0,0,0
1696119360000,8.30392258,8.30607818,8.30392258,8.30607818,0,1696119419999,0,60,0,0,0
1696119420000,8.30607813,8.31467791,8.30547815,8.31467789,0,1696119479999,0,60,0,0,0
1696119480000,8.31472890,8.31472906,8.31176055,8.31184302,0,1696119539999,0,60,0,0,0
1696119540000,8.31184302,8.31585284,8.31184302,8.31585284,0,1696119599999,0,60,0,0,0
1696119600000,8.31585284,8.32595110,8.31585284,8.32419089,0,1696119659999,0,60,0,0,0
1696119660000,8.32419089,8.32419089,8.32002462,8.32005048,0,1696119719999,0,60,0,0,0
1696119720000,8.32005048,8.32156162,8.31929443,8.32156015,0,1696119779999,0,60,0,0,0
1696119780000,8.32156039,8.32861310,8.32029424,8.32861310,0,1696119839999,0,60,0,0,0
1696119840000,8.32861310,8.33237211,8.32782892,8.33012440,0,1696119899999,0,60,0,0,0
1696119900000,8.33003532,8.33334521,8.33003509,8.33180439,0,1696119959999,0,60,0,0,0
1696119960000,8.33163787,8.33280671,8.32897355,8.32964007,0,1696120019999,0,60,0,0,0
1696120020000,8.32964006,8.33248580,8.32838091,8.33248579,0,1696120079999,0,60,0,0,0
1696120080000,8.33252029,8.34677846,8.33252014,8.34677846,0,1696120139999,0,60,0,0,0
1696120140000,8.34677846,8.34755248,8.34554824,8.34755248,0,1696120199999,0,60,0,0,0
1696120200000,8.34754533,8.34754533,8.34478589,8.34480323,0,1696120259999,0,60,0,0,0
1696120260000,8.34421084,8.34421084,8.33208194,8.33384753,0,1696120319999,0,60,0,0,0
1696120320000,8.33384714,8.34573133,8.33382755,8.34573133,0,1696120379999,0,60,0,0,0
1696120380000,8.34573133,8.34752620,8.34573133,8.34705837,0,1696120439999,0,60,0,0,0
1696120440000,8.34720337,8.35558054,8.34720337,8.35558054,0,1696120499999,0,60,0,0,0
1696120500000,8.35559797,8.35703719,8.35535676,8.35670416,0,1696120559999,0,60,0,0,0
1696120560000,8.35670416,8.37063611,8.35666837,8.36183903,0,1696120619999,0,60,0,0,0
1696120620000,8.36165814,8.36195610,8.35336508,8.35945161,0,1696120679999,0,60,0,0,0
1696120680000,8.35943019,8.36086703,8.35482141,8.35482141,0,1696120739999,0,60,0,0,0
1696120740000,8.35459580,8.35741545,8.34434169,8.34434169,0,1696120799999,0,60,0,0,0
1696120800000,8.34417282,8.34417354,8.33135543,8.33480053,0,1696120859999,0,60,0,0,0
1696120860000,8.33481596,8.33724739,8.33476089,8.33723553,0,1696120919999,0,60,0,0,0
1696120920000,8.33728297,8.35372463,8.33302956,8.35372463,0,1696120979999,0,60,0,0,0
1696120980000,8.35372377,8.35403179,8.34843866,8.34846569,0,1696121039999,0,60,0,0,0
1696121040000,8.34846444,8.34850283,8.34110390,8.34110392,0,1696121099999,0,60,0,0,0
1696121100000,8.34110808,8.34391156,8.34109173,8.34391156,0,1696121159999,0,60,0,0,0
1696121160000,8.34231157,8.34569845,8.34193507,8.34569845,0,1696121219999,0,60,0,0,0
1696121220000,8.34569861,8.34666887,8.34433143,8.34566177,0,1696121279999,0,60,0,0,0
1696121280000,8.34566177,8.34614729,8.34186962,8.34264529,0,1696121339999,0,60,0,0,0
1696121340000,8.34264529,8.34778119,8.34211317,8.34754728,0,1696121399999,0,60,0,0,0
1696121400000,8.34754728,8.35036794,8.34682549,8.34682723,0,1696121459999,0,60,0,0,0
1696121460000,8.34682723,8.34771808,8.34643129,8.34734752,0,1696121519999,0,60,0,0,0
1696121520000,8.34738156,8.35005391,8.34738156,8.35005391,0,1696121579999,0,60,0,0,0
1696121580000,8.35005391,8.36451729,8.35005391,8.36238644,0,1696121639999,0,60,0,0,0
1696121640000,8.36211634,8.36329705,8.36210843,8.36309952,0,1696121699999,0,60,0,0,0
1696121700000,8.36309952,8.36763358,8.36309952,8.36763358,0,1696121759999,0,60,0,0,0
1696121760000,8.36763358,8.36858178,8.36276059,8.36336822,0,1696121819999,0,60,0,0,0
1696121820000,8.36336822,8.37244980,8.36229179,8.36756652,0,1696121879999,0,60,0,0,0
1696121880000,8.36756693,8.36808940,8.36646283,8.36648432,0,1696121939999,0,60,0,0,0
1696121940000,8.36648599,8.36748405,8.36648113,8.36726465,0,1696121999999,0,60,0,0,0
1696122000000,8.36726465,8.36833141,8.36100777,8.36100777,0,1696122059999,0,60,0,0,0
1696122060000,8.36100777,8.36124769,8.35922267,8.36047762,0,1696122119999,0,60,0,0,0
1696122120000,8.36047762,8.36047787,8.35311637,8.35311637,0,1696122179999,0,60,0,0,0
1696122180000,8.35313095,8.35396510,8.35101461,8.35101525,0,1696122239999,0,60,0,0,0
1696122240000,8.35101526,8.35231189,8.34954680,8.34954680,0,1696122299999,0,60,0,0,0
1696122300000,8.34954679,8.34954680,8.34469149,8.34472488,0,1696122359999,0,60,0,0,0
1696122360000,8.34474742,8.34881773,8.34379831,8.34379831,0,1696122419999,0,60,0,0,0
1696122420000,8.34379831,8.34444872,8.34228916,8.34369205,0,1696122479999,0,60,0,0,0
1696122480000,8.34342214,8.34342534,8.33335797,8.33335797,0,1696122539999,0,60,0,0,0
1696122540000,8.33335867,8.33685622,8.33335867,8.33593108,0,1696122599999,0,60,0,0,0
1696122600000,8.33593108,8.33593108,8.33472622,8.33539478,0,1696122659999,0,60,0,0,0
1696122660000,8.33539478,8.33543289,8.33201554,8.33331233,0,1696122719999,0,60,0,0,0
1696122720000,8.33331233,8.33345491,8.33188455,8.33188455,0,1696122779999,0,60,0,0,0
1696122780000,8.33139299,8.33145282,8.32272808,8.32286507,0,1696122839999,0,60,0,0,0
1696122840000,8.32285668,8.32401668,8.32285655,8.32349471,0,1696122899999,0,60,0,0,0
1696122900000,8.32349481,8.32626302,8.32347642,8.32626302,0,1696122959999,0,60,0,0,0
1696122960000,8.32627866,8.32662345,8.32018583,8.32021213,0,1696123019999,0,60,0,0,0
1696123020000,8.32021213,8.32500729,8.31939684,8.32250732,0,1696123079999,0,60,0,0,0
1696123080000,8.32228250,8.32231933,8.31791771,8.31791771,0,1696123139999,0,60,0,0,0
1696123140000,8.31791676,8.31791676,8.31606022,8.31676079,0,1696123199999,0,60,0,0,0
1696123200000,8.31677491,8.31677491,8.30889197,8.31295273,0,1696123259999,0,60,0,0,0
1696123260000,8.31295273,8.31748724,8.31292929,8.31746315,0,1696123319999,0,60,0,0,0
1696123320000,8.31745224,8.31761759,8.31579036,8.31579036,0,1696123379999,0,60,0,0,0
