open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682899200000,5.86213827,5.86847916,5.86213004,5.86518742,0,1682899259999,0,60,0,0,0
1682899260000,5.86518925,5.86986187,5.86514586,5.86858284,0,1682899319999,0,60,0,0,0
1682899320000,5.86858284,5.86858284,5.86274865,5.86344057,0,1682899379999,0,60,0,0,0
1682899380000,5.86344057,5.86666725,5.86182687,5.86666725,0,1682899439999,0,60,0,0,0
1682899440000,5.86692868,5.87435919,5.86692868,5.87435919,0,1682899499999,0,60,0,0,0
1682899500000,5.87436612,5.87580283,5.87380097,5.87492890,0,1682899559999,0,60,0,0,0
1682899560000,5.87484691,5.87559953,5.87230997,5.87238964,0,1682899619999,0,60,0,0,0
1682899620000,5.87238955,5.87627247,5.87237968,5.87615763,0,1682899679999,0,60,0,0,0
1682899680000,5.87615763,5.87628488,5.87426350,5.87438018,0,1682899739999,0,60,0,0,0
1682899740000,5.87439178,5.87461378,5.87309589,5.87424640,0,1682899799999,0,60,0,0,0
1682899800000,5.87424564,5.87548932,5.87424564,5.87546578,0,1682899859999,0,60,0,0,0
1682899860000,5.87551518,5.87620733,5.87442645,5.87442645,0,1682899919999,0,60,0,0,0
1682899920000,5.87391945,5.87473921,5.87368632,5.87445766,0,1682899979999,0,60,0,0,0
1682899980000,5.87450535,5.87466650,5.87236769,5.87243162,0,1682900039999,0,60,0,0,0
1682900040000,5.87241783,5.87282184,5.87192937,5.87278922,0,1682900099999,0,60,0,0,0
1682900100000,5.87278530,5.88121095,5.87278530,5.88052961,0,1682900159999,0,60,0,0,0
1682900160000,5.88060429,5.88062055,5.87994323,5.87998293,0,1682900219999,0,60,0,0,0
1682900220000,5.87998293,5.88294781,5.87962878,5.88290621,0,1682900279999,0,60,0,0,0
1682900280000,5.88294241,5.88612815,5.88243027,5.88612797,0,1682900339999,0,60,0,0,0
1682900340000,5.88612491,5.88612491,5.87947879,5.87949016,0,1682900399999,0,60,0,0,0
1682900400000,5.87950991,5.87975445,5.87950991,5.87968608,0,1682900459999,0,60,0,0,0
1682900460000,5.87968759,5.88431700,5.87968759,5.88350799,0,1682900519999,0,60,0,0,0
1682900520000,5.88349119,5.88416643,5.88333025,5.88416643,0,1682900579999,0,60,0,0,0
1682900580000,5.88415325,5.88527157,5.88362626,5.88525180,0,1682900639999,0,60,0,0,0
1682900640000,5.88528189,5.88765763,5.88503548,5.88765224,0,1682900699999,0,60,0,0,0
1682900700000,5.88765214,5.88867939,5.88753200,5.88803298,0,1682900759999,0,60,0,0,0
1682900760000,5.88803298,5.88852062,5.88770333,5.88773710,0,1682900819999,0,60,0,0,0
1682900820000,5.88775631,5.88776045,5.88625453,5.88639067,0,1682900879999,0,60,0,0,0
1682900880000,5.88640936,5.89341799,5.88549380,5.89337568,0,1682900939999,0,60,0,0,0
1682900940000,5.89349521,5.89585935,5.89347388,5.89585935,0,1682900999999,0,60,0,0,0
1682901000000,5.89584213,5.89584213,5.89392773,5.89395756,0,1682901059999,0,60,0,0,0
1682901060000,5.89389618,5.89499292,5.89389618,5.89499292,0,1682901119999,0,60,0,0,0
1682901120000,5.89499292,5.89501583,5.89429007,5.89429007,0,1682901179999,0,60,0,0,0
1682901180000,5.89436751,5.89584000,5.89400329,5.89581410,0,1682901239999,0,60,0,0,0
1682901240000,5.89580735,5.89624191,5.89461517,5.89461517,0,1682901299999,0,60,0,0,0
1682901300000,5.89460678,5.89510093,5.89407958,5.89509011,0,1682901359999,0,60,0,0,0
1682901360000,5.89509011,5.89720033,5.89484647,5.89720033,0,1682901419999,0,60,0,0,0
1682901420000,5.89719574,5.89822495,5.89711466,5.89820110,0,1682901479999,0,60,0,0,0
1682901480000,5.89824698,5.89825482,5.89650698,5.89655484,0,1682901539999,0,60,0,0,0
1682901540000,5.89655475,5.89657747,5.89573919,5.89584495,0,1682901599999,0,60,0,0,0
1682901600000,5.89584495,5.89589282,5.89553265,5.89559504,0,1682901659999,0,60,0,0,0
1682901660000,5.89559504,5.89559595,5.89272181,5.89272181,0,1682901719999,0,60,0,0,0
1682901720000,5.89268822,5.89272704,5.89028273,5.89043663,0,1682901779999,0,60,0,0,0
1682901780000,5.89043663,5.89253590,5.88929508,5.89253590,0,1682901839999,0,60,0,0,0
1682901840000,5.89263365,5.89442725,5.89259114,5.89439186,0,1682901899999,0,60,0,0,0
1682901900000,5.89439186,5.89439348,5.89275801,5.89285551,0,1682901959999,0,60,0,0,0
1682901960000,5.89285551,5.89298061,5.89157887,5.89164600,0,1682902019999,0,60,0,0,0
1682902020000,5.89164469,5.89164469,5.89053642,5.89053642,0,1682902079999,0,60,0,0,0
1682902080000,5.89053611,5.89158676,5.89040996,5.89157563,0,1682902139999,0,60,0,0,0
1682902140000,5.89159129,5.89819175,5.89158543,5.89817761,0,1682902199999,0,60,0,0,0
1682902200000,5.89814455,5.89814455,5.89621943,5.89632894,0,1682902259999,0,60,0,0,0
1682902260000,5.89629849,5.89635233,5.89117604,5.89122586,0,1682902319999,0,60,0,0,0
1682902320000,5.89122595,5.89122745,5.89059991,5.89059991,0,1682902379999,0,60,0,0,0
1682902380000,5.89058197,5.89060220,5.88939531,5.88939641,0,1682902439999,0,60,0,0,0
1682902440000,5.88947415,5.88948029,5.88383111,5.88383827,0,1682902499999,0,60,0,0,0
1682902500000,5.88383836,5.88436029,5.88353374,5.88402313,0,1682902559999,0,60,0,0,0
1682902560000,5.88417364,5.88449627,5.88417024,5.88445452,0,1682902619999,0,60,0,0,0
1682902620000,5.88445222,5.88539578,5.88445222,5.88539578,0,1682902679999,0,60,0,0,0
1682902680000,5.88539578,5.88690268,5.88538511,5.88627716,0,1682902739999,0,60,0,0,0
1682902740000,5.88593429,5.88888244,5.88567830,5.88887951,0,1682902799999,0,60,0,0,0
1682902800000,5.88885676,5.89005732,5.88664849,5.88670109,0,1682902859999,0,60,0,0,0
1682902860000,5.88670127,5.88705748,5.88648532,5.88650385,0,1682902919999,0,60,0,0,0
1682902920000,5.88650824,5.89026416,5.88649784,5.89004083,0,1682902979999,0,60,0,0,0
1682902980000,5.89011322,5.89052544,5.88987662,5.89051798,0,1682903039999,0,60,0,0,0
1682903040000,5.89051798,5.89186841,5.89050443,5.89131030,0,1682903099999,0,60,0,0,0
1682903100000,5.89127895,5.89204323,5.89119748,5.89168913,0,1682903159999,0,60,0,0,0
1682903160000,5.89170570,5.89220753,5.89111904,5.89170606,0,1682903219999,0,60,0,0,0
1682903220000,5.89171371,5.89292760,5.89167737,5.89228423,0,1682903279999,0,60,0,0,0
1682903280000,5.89228423,5.89231251,5.89126212,5.89138969,0,1682903339999,0,60,0,0,0
1682903340000,5.89140585,5.89180420,5.88984808,5.88984808,0,1682903399999,0,60,0,0,0
1682903400000,5.88984808,5.88984808,5.88899904,5.88962571,0,1682903459999,0,60,0,0,0
1682903460000,5.88962853,5.88999707,5.88322911,5.88322911,0,1682903519999,0,60,0,0,0
1682903520000,5.88324040,5.88397155,5.88095280,5.88114840,0,1682903579999,0,60,0,0,0
