open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703829900000,42663.76723404,42663.76787234,42663.76085106,42663.76510638,0,1703829959999,0,16,0,0,0
1703829960000,42663.76510638,42663.76510638,42654.03787234,42654.05319149,0,1703830019999,0,60,0,0,0
1703830020000,42654.05744681,42656.32468085,42654.04042553,42656.32404255,0,1703830079999,0,60,0,0,0
1703830080000,42656.33042553,42671.45765957,42656.31127660,42665.21936170,0,1703830139999,0,60,0,0,0
1703830140000,42662.62382979,42662.62382979,42654.14234043,42654.15744681,0,1703830199999,0,60,0,0,0
1703830200000,42654.15255319,42655.03893617,42646.92808511,42646.92893617,0,1703830259999,0,60,0,0,0
1703830260000,42646.92829787,42646.94021277,42640.28659574,42641.18595745,0,1703830319999,0,60,0,0,0
1703830320000,42641.22212766,42654.22297872,42641.21787234,42653.81978723,0,1703830379999,0,60,0,0,0
1703830380000,42653.82404255,42662.46893617,42646.28617021,42646.32574468,0,1703830439999,0,60,0,0,0
1703830440000,42646.47765957,42646.59127660,42645.32702128,42645.33638298,0,1703830499999,0,60,0,0,0
1703830500000,42645.33638298,42645.56765957,42641.72851064,42645.56765957,0,1703830559999,0,60,0,0,0
1703830560000,42645.56702128,42645.63382979,42644.71744681,42645.63382979,0,1703830619999,0,60,0,0,0
1703830620000,42645.63382979,42645.68553191,42641.24404255,42643.86212766,0,1703830679999,0,60,0,0,0
1703830680000,42643.86425532,42643.88191489,42639.99170213,42640.05978723,0,1703830739999,0,60,0,0,0
1703830740000,42640.05617021,42640.86425532,42640.05553191,42640.77276596,0,1703830799999,0,60,0,0,0
1703830800000,42640.77276596,42646.84808511,42640.76914894,42646.61319149,0,1703830859999,0,60,0,0,0
1703830860000,42646.61744681,42647.05021277,42642.08319149,42642.08957447,0,1703830919999,0,60,0,0,0
1703830920000,42642.09382979,42643.47127660,42642.05957447,42642.05957447,0,1703830979999,0,60,0,0,0
