calc_time,funding_interval_hours,last_funding_rate
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711929600000,8,0.00076998
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711958400000,8,0.00050838
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1711987200001,8,0.00049679
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712016000003,8,0.00041553
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712044800000,8,0.00012885
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712073600000,8,0.00041693
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712102400001,8,0.00013797
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
1712131200001,8,0.00010921
